"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.rasgo","p.GS.rasgo","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.black","p.MM.black","MM.brown","p.MM.brown"
"MMT00047183","MMT00047183",NA,NA,"black",0.0849390185323737,0.329166866610736,-0.25393625792023,0.00306965923799884,0.426056271322278,2.85886157089562e-07,-0.23220310792348,0.00693879936027029,0.0113591166598465,0.89635788987002,0.418827775285181,4.74430536651599e-07,0.195872312789351,0.023319393540658,-0.0870314543425397,0.317348165679043,-0.0138540156602805,0.873765798156997,0.939312870011159,3.44131675367424e-63,-0.280767872821295,0.00101609894478397
"MMT00021626","MMT00021626","Mpp5",56217,"black",-0.0835164080204294,0.337361134242706,-0.120622010531942,0.165047594671524,0.166134657454208,0.0550495648655909,0.166324512191221,0.0547684971467476,0.206025212930641,0.0169287659749602,0.434705548652956,1.53516879173035e-07,0.526661276726222,6.30372661599764e-11,-0.0780736644458968,0.369894716030233,-0.00327849531467248,0.97000989796441,0.774055184957162,5.57062227906837e-28,0.00483353283424041,0.955797240331548
"MMT00068097","MMT00068097","E030030I06Rik",319887,"black",0.0832976998430992,0.338632295181672,-0.331555144092657,9.10222022955356e-05,0.460427662390282,2.17426588784278e-08,-0.213772178742514,0.0131327738501875,-0.0102873946090385,0.906089326885354,0.530242127620935,4.42879330374584e-11,0.223744712832014,0.00935499535083455,-0.0290232479574093,0.739216591431911,-0.0144625699325309,0.868269836796285,0.946328396167023,1.30562101267891e-66,-0.202259460512006,0.0190953475748079
"MMT00070300","MMT00070300","B230312B02Rik",228005,"black",0.0824424375038167,0.34363232686649,-0.239583325029484,0.00530147088927284,0.497285371287887,9.8215776697263e-10,-0.312991542692264,0.000231271454161707,0.0284264510103518,0.744391806372396,0.162830357727786,0.0601347295858215,0.180937567911805,0.0364222327693972,-0.0114297366563034,0.895717171941528,-0.0317186104384483,0.715991565170529,0.762076841167751,1.09391954723118e-26,-0.366765642014202,1.30821628069535e-05
"MMT00044175","MMT00044175","Hmgb1",15289,"black",0.0772912451494764,0.374725049461735,-0.248582996932032,0.00377709297878479,0.427583982308406,2.56473062316733e-07,-0.210639687038186,0.0145672996495991,0.0260126614144915,0.765437762549892,0.441219189836599,9.50125296745796e-08,0.239448391359259,0.00532800297422217,-0.0849769286010959,0.328950262709182,-0.0192291375614544,0.825459694872798,0.959275760074949,2.43899561117689e-74,-0.271284157420136,0.00152125987671665
"MMT00044766","MMT00044766",NA,NA,"black",0.0727348686853401,0.403613068746756,-0.299631641141668,0.000436194621243509,0.384643386872717,4.46105911226633e-06,-0.116681796358461,0.179393018676463,0.0246623834870216,0.77728712788191,0.594560491914503,3.61676593913186e-14,0.258772917049112,0.00253571012503081,-0.00234215273700448,0.978572667729994,-0.0102616506856078,0.906323263958166,0.941740611213018,2.51917269273085e-64,-0.136795855673821,0.115000510665565
"MMT00044497","MMT00044497","Pcyt1a",13026,"black",-0.0724307719065119,0.405586874957353,0.0377220862988022,0.665212502988575,0.233272571743389,0.00667666038819168,0.00541249361032031,0.950508990400483,0.223660129690218,0.0093825028896284,0.273111006743435,0.00140902973934241,0.30569724896405,0.000328238713128263,-0.0516845194232995,0.553125614434749,-0.0393698974578561,0.651524726522684,0.788689306989167,1.13265632184477e-29,-0.184023951433949,0.0332967459046971
"MMT00007970","MMT00007970",NA,NA,"black",0.0612792981387337,0.481822173938748,-0.235260077244043,0.00621277911807399,0.397481779911805,1.97948007103049e-06,-0.11477197254787,0.186667214393667,0.028531623866484,0.74347894788027,0.519253336544619,1.29162993974395e-10,0.334722095371026,7.71658060062774e-05,-0.02302145601056,0.7917560761371,-0.04394155489022,0.614164099552408,0.972718754732556,1.24164408396432e-85,-0.18778878251818,0.0297942065091563
"MMT00001646","MMT00001646","Hmgb1",15289,"black",-0.0572815308250292,0.510917596856597,0.0230480485868435,0.791521014061087,0.172165042885815,0.0466833175992352,-0.000105843424047606,0.999031569891948,0.023008060009245,0.791874495669393,0.575559616412099,3.47556549693023e-13,0.387185482301235,3.80834431518032e-06,-0.00290465148205129,0.973428311418034,-0.0199612927358618,0.818925905204444,0.951472925210715,1.99974310004242e-69,-0.220259952215843,0.0105490334923443
"MMT00004086","MMT00004086","Cdkn1b",12576,"black",0.0566658426587831,0.515477797280792,-0.223516455772864,0.00942939102668107,0.422534960766575,3.66433501559288e-07,-0.288081681117056,0.000737095146989697,0.101392746730867,0.24372897553876,0.191852130540534,0.0263703402425443,0.145977022762168,0.0923745289465142,-0.075626711204604,0.385128667963573,-0.0225998440988807,0.795485354637312,0.803165983051098,1.75075968182013e-31,-0.363486825047612,1.58273976472747e-05
"MMT00012375","MMT00012375","Hmgb1",15289,"black",0.0558171022216623,0.521798206331097,-0.166257055032151,0.0548682273233423,0.34445542683666,4.59270631937778e-05,-0.0678893427714257,0.43573636431478,0.0075529809266102,0.930978188893187,0.5075312662021,3.88190686732954e-10,0.365035916884791,1.44689136616754e-05,-0.0703504699011082,0.419241703791471,-0.0892144735795402,0.305314757457588,0.954371045746152,3.7768862829343e-71,-0.174645588171967,0.0435634309052394
"MMT00004959","MMT00004959",NA,NA,"black",-0.0555651925214583,0.52368168394447,-0.0764424114649441,0.380008770316041,0.214930163835936,0.0126346306878433,0.0162192825093217,0.852440823857033,0.0276239996964292,0.751368370383189,0.550844367093646,5.34990325134962e-12,0.369656887289384,1.10401856464284e-05,0.00159613627216981,0.985396716971689,-0.0579039156918921,0.506329067429488,0.893922601848646,7.68661653195869e-48,-0.149040313408368,0.0856660985450241
"MMT00009297","MMT00009297","Hmgb1",15289,"black",0.0554270379405896,0.524716099334575,-0.191530538795367,0.0266284927935361,0.341229860995039,5.46486959018908e-05,-0.0809436485255938,0.352506307350231,0.0286860977687382,0.742138822302482,0.512115498212564,2.53691301985623e-10,0.35924408339147,2.01895608963815e-05,0.0128513465241809,0.88283410704995,-0.107276712808927,0.217297066905247,0.962665420493986,8.79623111553091e-77,-0.159181267771105,0.0661914000628736
"MMT00004929","MMT00004929",NA,382906,"black",-0.054829216924798,0.529204101562762,-0.129227829673846,0.136710569957405,0.166685354991145,0.0542375537057664,0.0660357893273262,0.448399535807717,0.0609118694951444,0.484458566790095,0.598180031879461,2.31067198204959e-14,0.371613446328668,9.83325567464628e-06,0.0599121729068959,0.491670597752505,-0.0512349010132869,0.556588159912909,0.845198693791983,9.92104275262322e-38,-0.0661842343511757,0.447377835986197
"MMT00042944","MMT00042944","AI931714",102182,"black",0.0504366693279484,0.562761015503735,-0.27354433633267,0.00138354094489063,0.412995588555717,7.07873238566719e-07,-0.153714560850744,0.0761858379327824,0.0411771972902637,0.636644657392981,0.388330867719467,3.54481672024828e-06,0.200842284700005,0.0199706575945307,-0.114314741897265,0.188440250685066,0.0138372446507615,0.873917346651199,0.829181701031304,3.77521721847134e-35,-0.242271917735557,0.0047968323128279
"MMT00027298","MMT00027298","Hmgb1",15289,"black",0.045478331995157,0.6018181268649,-0.162089858552706,0.0613255979166768,0.301071204629272,0.000407956032523247,-0.0370634167781235,0.670715168651956,-0.00151995940342393,0.986093598710225,0.506289023600237,4.35147091581878e-10,0.381088975990143,5.55317887931542e-06,-0.0236833333288548,0.785911102886996,-0.0606051313446231,0.486665396344842,0.921477130234027,4.62853200379894e-56,-0.139585728007745,0.107710644672084
"MMT00018332","MMT00018332",NA,245015,"black",-0.0414895258488766,0.634087562793887,-0.00317136007639914,0.970989485456832,0.22140407859193,0.0101430091135366,-0.00681839870772044,0.937676819556971,-0.0105071656471663,0.90409257996609,0.564680054082277,1.19071751410636e-12,0.399316063340246,1.75757443369576e-06,-0.00486180690866903,0.955538937294402,-0.0515455863811602,0.554194433088177,0.946749335484059,7.87292167827242e-67,-0.212984441096522,0.0134813786168661
