Id gen 1	Id gen 2	Coeficiente de correlación
F2_23	F2_63	0.8218786384833401
F2_23	F2_242	0.811262518888678
F2_23	F2_244	0.8279185861019488
F2_48	F2_117	0.8151845020337312
F2_63	F2_65	0.8542635766810744
F2_63	F2_117	0.811049521415449
F2_70	F2_214	0.8205718425712188
F2_70	F2_226	0.8003693286338985
F2_107	F2_228	0.8098022179895792
F2_112	F2_195	0.8158599151562681
F2_162	F2_194	0.8361092564392943
F2_225	F2_244	0.8009809011198054
F2_242	F2_244	0.8083716809402793
F2_278	F2_321	0.8010734006581255
F2_303	F2_304	0.8083651497811328
